date,target
01.01.1900,3999
02.01.1900,7693
03.01.1900,11058
04.01.1900,11951
05.01.1900,12610
06.01.1900,17803
07.01.1900,22032
08.01.1900,25896
09.01.1900,29730
10.01.1900,33030
11.01.1900,33985
12.01.1900,34674
13.01.1900,39482
14.01.1900,44108
15.01.1900,47905
16.01.1900,51577
17.01.1900,54836
18.01.1900,55875
19.01.1900,56545
20.01.1900,61678
21.01.1900,66386
22.01.1900,70450
23.01.1900,74275
24.01.1900,77752
25.01.1900,78865
26.01.1900,79952
27.01.1900,85847
28.01.1900,90616
29.01.1900,94403
30.01.1900,98116
31.01.1900,101088
01.02.1900,101940
02.02.1900,102635
03.02.1900,107429
04.02.1900,111130
05.02.1900,114368
06.02.1900,117318
07.02.1900,118020
08.02.1900,118755
09.02.1900,119458
10.02.1900,124000
11.02.1900,128483
12.02.1900,132256
13.02.1900,135617
14.02.1900,138833
15.02.1900,139817
16.02.1900,140503
17.02.1900,145474
18.02.1900,150460
19.02.1900,154793
20.02.1900,159470
21.02.1900,163159
22.02.1900,164321
23.02.1900,165367
24.02.1900,172895
25.02.1900,181198
26.02.1900,188714
27.02.1900,196110
28.02.1900,202793
29.02.1900,204660
01.03.1900,206065
02.03.1900,217839
03.03.1900,229806
04.03.1900,240056
05.03.1900,250825
06.03.1900,259780
07.03.1900,263606
08.03.1900,266343
09.03.1900,279206
10.03.1900,292134
11.03.1900,303387
12.03.1900,311900
13.03.1900,314272
14.03.1900,316814
15.03.1900,319466
16.03.1900,332429
17.03.1900,345332
18.03.1900,354219
19.03.1900,362285
20.03.1900,369364
21.03.1900,371944
22.03.1900,374615
23.03.1900,382938
24.03.1900,390597
25.03.1900,396847
26.03.1900,402587
27.03.1900,407007
28.03.1900,408424
29.03.1900,410101
30.03.1900,415568
31.03.1900,420139
01.04.1900,423041
02.04.1900,423871
03.04.1900,424674
04.04.1900,425378
05.04.1900,426268
06.04.1900,430657
07.04.1900,433833
08.04.1900,434979
09.04.1900,438207
